leiden,condition,pvalue,odds,fdr,-log10(FDR),log2(odds_ratio),celltype
B-cell1,cro,0.012686953565906954,1.360480735242135,0.03914831386051289,1.4072869385062836,0.4441165277986067,B-cell
B-cell4,pre,0.002774547652915511,1.7661695075757575,0.011986045860595007,1.9213240649537968,0.8206238118444571,B-cell
B-cell6,pre,0.012382246108976064,0.5128634176950428,0.038761813906359854,1.4115959078057365,-0.9633534266569131,B-cell
B-cell6,acu,3.1393580113491667e-06,2.915548955738647,3.3905066522571e-05,4.469735399189724,1.5437675476310346,B-cell
Monocyte0,pre,0.014039968989849785,1.2998921626604516,0.042119906969549356,1.375512596713901,0.37839194413987065,Monocyte
Monocyte1,cro,0.016913216192900562,0.7529725566805041,0.04871006263555362,1.3123813119749799,-0.4093308104183626,Monocyte
Monocyte2,acu,0.0006449282660232485,0.6634615384615384,0.0036659080384479387,2.4358184337806605,-0.5919152613629232,Monocyte
Monocyte2,cro,1.3703541023048721e-06,1.7599044915075694,1.8499780381115773e-05,4.73283342726378,0.815497137176671,Monocyte
Monocyte3,pre,0.003224752802251773,0.5786275863002206,0.013657776574242803,1.8646199961253844,-0.789292988920572,Monocyte
Monocyte3,acu,0.00033774519008238275,1.8280782705289242,0.002279780033056084,2.6421070543322096,0.8703278417780969,Monocyte
Monocyte5,pre,0.017228305936840202,0.45903396529778256,0.04896465897838794,1.3101172658555393,-1.1233271879721523,Monocyte
Monocyte5,acu,1.6326488422758187e-06,3.75265780730897,1.9591786107309824e-05,4.707925969253398,1.9079127415421768,Monocyte
Monocyte5,cro,0.007854110390340445,0.37066666666666664,0.026099812989439017,1.5833626044604034,-1.4318057126597359,Monocyte
NK-cell0,pre,0.0073492653397317365,0.7289383561643835,0.02560389215132347,1.5916940108069668,-0.4561312789856721,NK-cell
NK-cell0,acu,2.620485307424747e-05,1.6174283210216602,0.0002411856823686333,3.617648477016364,0.693701778246862,NK-cell
NK-cell2,pre,4.8531498918266515e-12,2.5805560756412658,1.7471339610575947e-10,9.757673794320084,1.3676819808140113,NK-cell
NK-cell2,acu,1.2655978618667948e-07,0.42821273135970156,2.102839524332521e-06,5.677193868709824,-1.2236004051974352,NK-cell
NK-cell1,pre,0.0012395639135033784,0.6616487319628572,0.006530385495529993,2.1850611811077854,-0.595862598630885,NK-cell
NK-cell1,cro,0.009238711970274704,1.386903947068218,0.03023578462998994,1.5194787568065595,0.47186787426073157,NK-cell
NK-cell3,pre,0.001797070350819341,0.6187599364069952,0.008258876505893142,2.083079027797909,-0.69254830698554,NK-cell
NK-cell4,cro,0.0045266423942052205,1.5589529120198264,0.018106569576820882,1.7421638221860236,0.6405773522682605,NK-cell
NK-cell5,pre,0.0001744500136591487,1.901998001998002,0.0012155226758185844,2.9152369348946685,0.9275157306837087,NK-cell
NK-cell5,acu,0.0033349681191162618,0.5624426078971534,0.013852944494790626,1.8584579058828943,-0.8302222048269738,NK-cell
NK-cell7,pre,0.013358518975565583,1.7572303444369712,0.04064000139045304,1.391046285865228,0.8133033176953439,NK-cell
NK-cell9,acu,0.011835021989457316,2.2684292379471227,0.03759359926062912,1.4248860923708038,1.1816936565345753,NK-cell
Tc-Mem1,pre,2.112078644168179e-24,0.20119067215363512,1.520696623801089e-22,21.8179574182617,-2.313364676173586,Tc-Mem
Tc-Mem1,acu,0.0018354975188858906,0.6454420417207917,0.008259738834986508,2.0830336844371677,-0.6316405421528628,Tc-Mem
Tc-Mem1,cro,5.494182033951947e-36,4.99068761952274,1.1867433193336205e-33,32.92564320442503,2.319238604526756,Tc-Mem
Tc-Mem0,pre,1.1618876945906462e-07,1.8269956458635703,2.0913978502631634e-06,5.679563342725917,0.8694731957067701,Tc-Mem
Tc-Mem0,acu,0.0010757241637348593,0.6672889916480691,0.005808910484168241,2.235905315989138,-0.5836163911649195,Tc-Mem
Tc-Mem3,pre,2.7200556054326197e-19,0.1952357249520017,1.4688300269336146e-17,16.833028457876026,-2.356711028178713,Tc-Mem
Tc-Mem3,acu,2.1385542678921966e-29,5.08130081300813,2.3096386093235723e-27,26.636455969135984,2.3451978742102093,Tc-Mem
Tc-Mem3,cro,0.00145121018565874,0.5917848699763594,0.007124122729597451,2.1472686074109526,-0.7568552829265118,Tc-Mem
Tc-Mem2,pre,9.990295506474797e-06,0.5208525274860266,0.00010275732520945505,3.988187209017337,-0.9410531446129919,Tc-Mem
