pvals_adj	fc	AUROC	cluster	Gene	cell_type
4.031377483863847e-84	0.5688554	0.888207357667585	B-cell1	AL138756.1	B-cell
5.859711666921897e-80	0.70134825	0.8780661730945822	B-cell1	AC127029.3	B-cell
1.1730874326689801e-72	0.6470952	0.8601397497704316	B-cell1	CXCR5	B-cell
4.2204186629894924e-72	0.70900995	0.8585585973370065	B-cell1	C12orf77	B-cell
4.4416836464215884e-71	0.68786967	0.8557119490358127	B-cell1	CLECL1	B-cell
6.116453171165682e-71	0.7918911	0.8552298553719009	B-cell1	SWAP70	B-cell
4.548758536306048e-70	0.6354913	0.8529628673094583	B-cell1	LINC01991	B-cell
9.620919012042414e-69	0.76082015	0.8495666896235078	B-cell1	BX571818.1	B-cell
2.4626704321711388e-64	0.6975481	0.8380423553719009	B-cell1	DTX1	B-cell
4.736885219962196e-58	0.78398854	0.8209366391184574	B-cell1	CD22	B-cell
2.464433031281478e-54	0.6653604	0.8104568411386593	B-cell1	CD81	B-cell
8.271592977229692e-53	0.6383275	0.8060663452708907	B-cell1	TCL1A	B-cell
1.0980268285786165e-51	0.7254143	0.8028179522497705	B-cell1	IGLL5	B-cell
2.0482230690305145e-117	0.7755879	0.9581871685799196	B-cell2	LINC00861	B-cell
2.0482230690305145e-117	0.7494441	0.9579977856768254	B-cell2	INPP4B	B-cell
5.442238198006592e-113	0.7924512	0.9485053318571179	B-cell2	PLCB1	B-cell
2.002886637846932e-110	0.7903526	0.9430161412505098	B-cell2	PTPRK	B-cell
7.46465705157049e-110	0.7788595	0.9417254239263446	B-cell2	TAFA1	B-cell
2.2432477423975857e-109	0.7922135	0.9407056698327603	B-cell2	PPP2R2B	B-cell
3.527963214369371e-109	0.79623544	0.9401899656197191	B-cell2	LINC01505	B-cell
3.976408898178395e-108	0.7955376	0.9379785560282035	B-cell2	DPYD	B-cell
8.847670440902337e-106	0.74428725	0.9330633412971272	B-cell2	LINC01967	B-cell
1.4292165851565568e-105	0.7799676	0.9326000815803275	B-cell2	LINC02325	B-cell
5.46852507783215e-105	0.7770798	0.9312685740924189	B-cell2	AC078980.1	B-cell
5.297679711374506e-104	0.79887784	0.9291911893246314	B-cell2	PARD3B	B-cell
1.2542537566650359e-103	0.7858601	0.9283345958860206	B-cell2	AC013652.1	B-cell
