pvals_adj,fc,AUROC,cluster,Gene,cell_type
4.031377483863847e-84,0.5688554,0.888207357667585,B-cell1,AL138756.1,B-cell
5.859711666921897e-80,0.70134825,0.8780661730945822,B-cell1,AC127029.3,B-cell
1.1730874326689801e-72,0.6470952,0.8601397497704316,B-cell1,CXCR5,B-cell
4.2204186629894924e-72,0.70900995,0.8585585973370065,B-cell1,C12orf77,B-cell
4.4416836464215884e-71,0.68786967,0.8557119490358127,B-cell1,CLECL1,B-cell
6.116453171165682e-71,0.7918911,0.8552298553719009,B-cell1,SWAP70,B-cell
4.548758536306048e-70,0.6354913,0.8529628673094583,B-cell1,LINC01991,B-cell
9.620919012042414e-69,0.76082015,0.8495666896235078,B-cell1,BX571818.1,B-cell
2.4626704321711388e-64,0.6975481,0.8380423553719009,B-cell1,DTX1,B-cell
4.736885219962196e-58,0.78398854,0.8209366391184574,B-cell1,CD22,B-cell
2.464433031281478e-54,0.6653604,0.8104568411386593,B-cell1,CD81,B-cell
8.271592977229692e-53,0.6383275,0.8060663452708907,B-cell1,TCL1A,B-cell
1.0980268285786165e-51,0.7254143,0.8028179522497705,B-cell1,IGLL5,B-cell
4.853010328714017e-78,0.62483156,0.9460168805642271,B-cell4,SWAP70,B-cell
2.05220339490834e-73,0.5514162,0.9321511157359232,B-cell4,C12orf77,B-cell
9.970244347612524e-68,0.72375214,0.9150537634408602,B-cell4,AC087500.1,B-cell
2.024313861609305e-67,0.509463,0.9137645970632443,B-cell4,AL138756.1,B-cell
7.357636248511729e-66,0.5385371,0.9087871430223147,B-cell4,LINC01991,B-cell
9.506061422220016e-62,0.71988994,0.8957162677766216,B-cell4,CD80,B-cell
6.278701037524155e-61,0.538689,0.8929673950745751,B-cell4,CXCR5,B-cell
6.91182333245125e-61,0.57355326,0.892675453809689,B-cell4,AC068295.1,B-cell
1.2815609812107974e-59,0.7950874,0.8882703202682392,B-cell4,RFTN1,B-cell
1.6156396779924043e-57,0.79807043,0.8813157590472886,B-cell4,KLHL6,B-cell
3.562268892678272e-56,0.615419,0.8767516475893167,B-cell4,AC104024.1,B-cell
3.718616498595918e-56,0.6946836,0.8766042317030871,B-cell4,CD22,B-cell
2.8961562701460937e-55,0.69976807,0.8735113885998381,B-cell4,BX571818.1,B-cell
